ID,Group Number,Category Number,Name,Manifest,Bundle Path,File Name,Child Attachment Transform,Animation,Color 1,Pattern 1,Color 2,Pattern 2,Color 3,Pattern 3,Scaling,Emission
296631001,11,2966301,SquishyPlap1,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631002,11,2966301,SquishyPlap2,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631003,11,2966301,SquishyPlap3,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631004,11,2966301,SquishyPlap4,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps4,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631005,11,2966301,SquishyPlap5,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps5,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631006,11,2966301,SquishyPlap6,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps6,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631007,11,2966301,SquishyPlap7,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps7,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631008,11,2966301,SquishyPlap8,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps8,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631009,11,2966301,SquishyPlap9,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps9,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631010,11,2966301,SquishyPlap10,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps10,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631011,11,2966301,SquishyPlap11,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631012,11,2966301,SquishyPlap12,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps12,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631013,11,2966301,SquishyPlap13,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps13,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631014,11,2966301,SquishyPlap14,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps14,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631015,11,2966301,SquishyPlap15,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps15,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631016,11,2966301,SquishyPlap16,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps16,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631017,11,2966301,SquishyPlap17,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps17,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631018,11,2966301,SquishyPlap18,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps18,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631019,11,2966301,SquishyPlap19,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps19,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631020,11,2966301,SquishyPlap20,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps20,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631021,11,2966301,SquishyPlap21,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps21,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631022,11,2966301,SquishyPlap22,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps22,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631023,11,2966301,SquishyPlap23,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps23,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631024,11,2966301,SquishyPlap24,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps24,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631025,11,2966301,SquishyPlap25,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps25,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631026,11,2966301,SquishyPlap26,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps26,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631027,11,2966301,SquishyPlap27,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps27,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631028,11,2966301,SquishyPlap28,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps28,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631029,11,2966301,SquishyPlap29,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps29,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631030,11,2966301,SquishyPlap30,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps30,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631031,11,2966301,SquishyPlap31,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps31,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631032,11,2966301,SquishyPlap32,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps32,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631033,11,2966301,SquishyPlap33,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps33,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631034,11,2966301,SquishyPlap34,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps34,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631035,11,2966301,SquishyPlap35,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps35,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631036,11,2966301,SquishyPlap36,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps36,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631037,11,2966301,SquishyPlap37,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps37,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631038,11,2966301,SquishyPlap38,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps38,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631039,11,2966301,SquishyPlap39,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps39,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631040,11,2966301,SquishyPlap40,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps40,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631041,11,2966301,SquishyPlap41,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps41,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631042,11,2966301,SquishyPlap42,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps42,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631043,11,2966301,SquishyPlap43,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps43,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631044,11,2966301,SquishyPlap44,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps44,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631045,11,2966301,SquishyPlap45,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps45,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631046,11,2966301,SquishyPlap46,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps46,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631047,11,2966301,SquishyPlap47,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps47,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631048,11,2966301,SquishyPlap48,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps48,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631049,11,2966301,SquishyPlap49,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps49,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631050,11,2966301,SquishyPlap50,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps50,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631051,11,2966301,SquishyPlap51,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps51,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631052,11,2966301,SquishyPlap52,abdata,studio/open_nsfw/lehornysfx3d/plaps/squishy.unity3d,squishy_plaps52,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631053,11,2966301,BallsHit1,abdata,studio/open_nsfw/lehornysfx3d/plaps/balls_hit.unity3d,balls_hit1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631054,11,2966301,BallsHit2,abdata,studio/open_nsfw/lehornysfx3d/plaps/balls_hit.unity3d,balls_hit2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631055,11,2966301,BallsHit3,abdata,studio/open_nsfw/lehornysfx3d/plaps/balls_hit.unity3d,balls_hit3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631056,11,2966301,BallsHit4,abdata,studio/open_nsfw/lehornysfx3d/plaps/balls_hit.unity3d,balls_hit4,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
