ID,Group Number,Category Number,Name,Manifest,Bundle Path,File Name,Child Attachment Transform,Animation,Color 1,Pattern 1,Color 2,Pattern 2,Color 3,Pattern 3,Scaling,Emission
296631001,11,2966301,SquishyPlap1,abdata,studio/open_nsfw_plaps.unity3d,squishy_plap1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631002,11,2966301,SquishyPlap2,abdata,studio/open_nsfw_plaps.unity3d,squishy_plap2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631003,11,2966301,SquishyPlap3,abdata,studio/open_nsfw_plaps.unity3d,squishy_plap3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631004,11,2966301,SquishyPlap4,abdata,studio/open_nsfw_plaps.unity3d,squishy_plap4,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631005,11,2966301,SquishyPlap5,abdata,studio/open_nsfw_plaps.unity3d,squishy_plap5,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631006,11,2966301,SquishyPlap6,abdata,studio/open_nsfw_plaps.unity3d,squishy_plap6,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631007,11,2966301,SquishyPlap7,abdata,studio/open_nsfw_plaps.unity3d,squishy_plap7,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631008,11,2966301,SquishyPlap8,abdata,studio/open_nsfw_plaps.unity3d,squishy_plap8,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631009,11,2966301,SquishyPlap9,abdata,studio/open_nsfw_plaps.unity3d,squishy_plap9,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631010,11,2966301,SquishyPlap10,abdata,studio/open_nsfw_plaps.unity3d,squishy_plap10,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296631011,11,2966301,SquishyPlap11,abdata,studio/open_nsfw_plaps.unity3d,squishy_plap11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
