ID,Group Number,Category Number,Name,Manifest,Bundle Path,File Name,Child Attachment Transform,Animation,Color 1,Pattern 1,Color 2,Pattern 2,Color 3,Pattern 3,Scaling,Emission
1,11,2963401,(S)LegacyDynamicWet01,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet01,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,11,2963401,(S)LegacyDynamicWet02,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet02,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,11,2963401,(S)LegacyDynamicWet03,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet03,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,11,2963401,(S)LegacyDynamicWet04,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet04,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,11,2963401,(S)LegacyDynamicWet05,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet05,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,11,2963401,(S)LegacyDynamicWet06,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet06,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,11,2963401,(S)LegacyDynamicWet07,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet07,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,11,2963401,(S)LegacyDynamicWet08,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet08,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,11,2963401,(S)LegacyDynamicWet09,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet09,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,11,2963401,(S)LegacyDynamicWet10,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet10,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,11,2963401,(S)LegacyDynamicWet11,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,11,2963401,(S)LegacyDynamicWet12,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet12,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,11,2963401,(S)LegacyDynamicWet13,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet13,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,11,2963401,(S)LegacyDynamicWet14,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet14,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,11,2963401,(S)LegacyDynamicWet15,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/pointy_aux/dynamic_wetness/bundle.unity3d,dynamic_wet15,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,11,2963409,(S)LegacyFatSlideIn01,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in01,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,11,2963409,(S)LegacyFatSlideIn02,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in02,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,11,2963409,(S)LegacyFatSlideIn03,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in03,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,11,2963409,(S)LegacyFatSlideIn04,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in04,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,11,2963409,(S)LegacyFatSlideIn05,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in05,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,11,2963409,(S)LegacyFatSlideIn06,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in06,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,11,2963409,(S)LegacyFatSlideIn07,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in07,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,11,2963409,(S)LegacyFatSlideIn08,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in08,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,11,2963409,(S)LegacyFatSlideIn09,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in09,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,11,2963409,(S)LegacyFatSlideIn10,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in10,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,11,2963409,(S)LegacyFatSlideIn11,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,11,2963409,(S)LegacyFatSlideIn12,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in12,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,11,2963409,(S)LegacyFatSlideIn13,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in13,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,11,2963409,(S)LegacyFatSlideIn14,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in14,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,11,2963409,(S)LegacyFatSlideIn15,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in15,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,11,2963409,(S)LegacyFatSlideIn16,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in16,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,11,2963409,(S)LegacyFatSlideIn17,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in17,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,11,2963409,(S)LegacyFatSlideIn18,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in18,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,11,2963409,(S)LegacyFatSlideIn19,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in19,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,11,2963409,(S)LegacyFatSlideIn20,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in20,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,11,2963409,(S)LegacyFatSlideIn21,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in21,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37,11,2963409,(S)LegacyFatSlideIn22,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in22,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,11,2963409,(S)LegacyFatSlideIn23,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in23,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,11,2963409,(S)LegacyFatSlideIn24,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in24,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,11,2963409,(S)LegacyFatSlideIn25,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in25,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,11,2963409,(S)LegacyFatSlideIn26,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in26,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,11,2963409,(S)LegacyFatSlideIn27,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in27,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,11,2963409,(S)LegacyFatSlideIn28,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in28,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,11,2963409,(S)LegacyFatSlideIn29,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in29,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,11,2963409,(S)LegacyFatSlideIn30,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in30,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,11,2963409,(S)LegacyFatSlideIn31,,studio/com_ax_mmd_opennsfw05wetsounds/legacy/le_horny_sfx3d/slide_in_out/bundle.unity3d,fat_slide_in31,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
