ID,Group Number,Category Number,Name,Manifest,Bundle Path,File Name,Child Attachment Transform,Animation,Color 1,Pattern 1,Color 2,Pattern 2,Color 3,Pattern 3,Scaling,Emission
296330300,11,2963302,AfterClimaxA1,abdata,studio/open_nsfw/geministarsign1/moans/moans.unity3d,after_climax_high_intensity_medium_fast_1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296330301,11,2963302,AfterClimaxA2,abdata,studio/open_nsfw/geministarsign1/moans/moans.unity3d,after_climax_high_intensity_medium_fast_2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296330302,11,2963302,AfterClimaxA3,abdata,studio/open_nsfw/geministarsign1/moans/moans.unity3d,after_climax_high_intensity_medium_fast_3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296330303,11,2963302,AfterClimaxA4,abdata,studio/open_nsfw/geministarsign1/moans/moans.unity3d,after_climax_high_intensity_medium_fast_4,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296330304,11,2963302,AfterClimaxA5,abdata,studio/open_nsfw/geministarsign1/moans/moans.unity3d,after_climax_high_intensity_medium_fast_5,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296330305,11,2963302,AfterClimaxB1,abdata,studio/open_nsfw/geministarsign1/moans/moans.unity3d,after_climax_high_intensity_medium_medium_1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296330306,11,2963302,AfterClimaxB2,abdata,studio/open_nsfw/geministarsign1/moans/moans.unity3d,after_climax_high_intensity_medium_medium_2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296330307,11,2963302,AfterClimaxB3,abdata,studio/open_nsfw/geministarsign1/moans/moans.unity3d,after_climax_high_intensity_medium_medium_3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296330308,11,2963302,AfterClimaxB4,abdata,studio/open_nsfw/geministarsign1/moans/moans.unity3d,after_climax_high_intensity_medium_medium_4,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296330309,11,2963302,AfterClimaxC1,abdata,studio/open_nsfw/geministarsign1/moans/moans.unity3d,after_climax_high_intensity_medium_slow_1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296330310,11,2963302,AfterClimaxC2,abdata,studio/open_nsfw/geministarsign1/moans/moans.unity3d,after_climax_high_intensity_medium_slow_2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296330311,11,2963302,AfterClimaxC3,abdata,studio/open_nsfw/geministarsign1/moans/moans.unity3d,after_climax_high_intensity_medium_slow_3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
