ID,Group Number,Category Number,Name,Manifest,Bundle Path,File Name,Child Attachment Transform,Animation,Color1,Pattern1,Color2,Pattern2,Color3,Pattern3,Scaling,Emission
1,29664,2402,HighMoansA,,studio/com_ax_mmd_opennsfw-voicepack[f]-hoshinomeririri/moans_[hoshinomeririri]/bundle.unity3d,high_moans_a_%1%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,29664,2402,HighMoansA1OM01,,studio/com_ax_mmd_opennsfw-voicepack[f]-hoshinomeririri/moans_[hoshinomeririri]/bundle.unity3d,high_moans_a1om01_%2%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,29664,2402,HighMoansA2OM02,,studio/com_ax_mmd_opennsfw-voicepack[f]-hoshinomeririri/moans_[hoshinomeririri]/bundle.unity3d,high_moans_a2om02_%3%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,29664,2402,HighMoansA3OM03,,studio/com_ax_mmd_opennsfw-voicepack[f]-hoshinomeririri/moans_[hoshinomeririri]/bundle.unity3d,high_moans_a3om03_%4%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,29664,2402,HighMoansA4CLIMAX04,,studio/com_ax_mmd_opennsfw-voicepack[f]-hoshinomeririri/moans_[hoshinomeririri]/bundle.unity3d,high_moans_a4climax04_%5%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,29664,2402,HighMoansB,,studio/com_ax_mmd_opennsfw-voicepack[f]-hoshinomeririri/moans_[hoshinomeririri]/bundle.unity3d,high_moans_b_%6%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,29664,2402,HighMoansB1CLIMAX05,,studio/com_ax_mmd_opennsfw-voicepack[f]-hoshinomeririri/moans_[hoshinomeririri]/bundle.unity3d,high_moans_b1climax05_%7%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,29664,2402,HighMoansB2GAG06,,studio/com_ax_mmd_opennsfw-voicepack[f]-hoshinomeririri/moans_[hoshinomeririri]/bundle.unity3d,high_moans_b2gag06_%8%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,29664,2402,HighMoansB3GAG07,,studio/com_ax_mmd_opennsfw-voicepack[f]-hoshinomeririri/moans_[hoshinomeririri]/bundle.unity3d,high_moans_b3gag07_%9%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,29664,2402,HighMoansB4GAG08,,studio/com_ax_mmd_opennsfw-voicepack[f]-hoshinomeririri/moans_[hoshinomeririri]/bundle.unity3d,high_moans_b4gag08_%10%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,29664,2402,HighMoansB5GAG09,,studio/com_ax_mmd_opennsfw-voicepack[f]-hoshinomeririri/moans_[hoshinomeririri]/bundle.unity3d,high_moans_b5gag09_%11%,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
