ID,Group Number,Category Number,Name,Manifest,Bundle Path,File Name,Child Attachment Transform,Animation,Color1,Pattern1,Color2,Pattern2,Color3,Pattern3,Scaling,Emission
1,29664,502,(S)LewdSchlop01,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop01,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,29664,502,(S)LewdSchlop02,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop02,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,29664,502,(S)LewdSchlop03,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop03,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,29664,502,(S)LewdSchlop04,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop04,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,29664,502,(S)LewdSchlop05,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop05,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,29664,502,(S)LewdSchlop06,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop06,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,29664,502,(S)LewdSchlop07,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop07,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,29664,502,(S)LewdSchlop08,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop08,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,29664,502,(S)LewdSchlop09,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop09,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,29664,502,(S)LewdSchlop10,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop10,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,29664,502,(S)LewdSchlop11,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,29664,502,(S)LewdSchlop12,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop12,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,29664,502,(S)LewdSchlop13,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop13,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,29664,502,(S)LewdSchlop14,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop14,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,29664,502,(S)LewdSchlop15,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop15,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,29664,502,(S)LewdSchlop16,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop16,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,29664,502,(S)LewdSchlop17,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop17,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,29664,502,(S)LewdSchlop18,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop18,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,29664,502,(S)LewdSchlop19,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop19,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,29664,502,(S)LewdSchlop20,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop20,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,29664,502,(S)LewdSchlop21,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop21,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,29664,502,(S)LewdSchlop22,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop22,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,29664,502,(S)LewdSchlop23,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop23,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,29664,502,(S)LewdSchlop24,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop24,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,29664,502,(S)LewdSchlop25,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop25,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,29664,502,(S)LewdSchlop26,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop26,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,29664,502,(S)LewdSchlop27,,studio/com_ax_mmd_opennsfw-05-wetsounds/lewd_schlop_[audioelk]/bundle.unity3d,lewd_schlop27,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
